year,fullName,primaryNationality,Male,Female,typeOfDeath,employedAs,organizations,jobs,coverage,mediums,country,localOrForeign,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened
2016,Khaled al-Zintani ,Libya,y,n,Crossfire,Freelance,Freelance,Photographer,War,"Television,Internet",Libya,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Khaled Eissa ,Syria,y,n,Murder,Freelance,Freelance,"Camera Operator,Photographer","Human Rights,War","Television,Internet",Syria,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Mahad Ali Mohamed ,Somalia,y,n,Crossfire,Staff,Codka Mudug Radio,Broadcast Reporter,War,Radio,Somalia,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Majid Dirani,Syria,y,n,Crossfire,Freelance,Freelance,"Camera Operator,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Marcos Hernandez Bautista ,Mexico,y,n,Murder,Staff,"Noticias, Voz e Imagen de Oaxaca","Broadcast Reporter,Print Reporter","Corruption,Politics","Print,Radio",Mexico,Local,n/a,n/a,Partial Impunity,No,No,Yes
2016,Mehmood Khan,Pakistan,y,n,Dangerous Assignment,Staff,DawnNews,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television,Internet",Pakistan,Local,n/a,n/a,n/a,No,No,No
2016,Mohammad Nasir Mudasir ,Afghanistan,y,n,Murder,Staff,Melli Paigham Radio,Editor,,Radio,Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Mohammed Eissa,Syria,y,n,Murder,Staff,Nateq Network,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Mohammed Ghalib al-Majidi,Yemen,y,n,Crossfire,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter","Human Rights,Politics,War",Internet,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mohammed Sayyed Hassan,Syria,y,n,Crossfire,Staff,"All4Syria, Al-Nabaa Media Center","Photographer,Editor,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mohsen Khazaei,n/a,y,n,Crossfire,Staff,Islamic Republic of Iran Broadcasting,Broadcast Reporter,War,Television,Syria,Foreign,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mubarak al-Abadi,Yemen,y,n,Crossfire,Staff,Nabaa Media Foundation,"Broadcast Reporter,Camera Operator,Photographer,Producer","Politics,War",Television,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Mustafa Abdul Hassa,Syria,y,n,Murder,Staff,Shaam News Network,Internet Reporter,War,Internet,Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Mustafa Said,Iraq,y,n,Crossfire,Staff,Kurdistan TV,Camera Operator,War,Television,Iraq,Local,n/a,n/a,n/a,No,No,No
2016,Naimatullah Zaheer,Afghanistan,y,n,Crossfire,Staff,Ariana News,Broadcast Reporter,"Culture,Politics,War",Television,Afghanistan,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Niraz Saeed,Syria,y,n,Unknown,Freelance,Freelance,Photographer,"Human Rights,War","Print,Internet",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Osama Jumaa,Syria,y,n,Crossfire,Staff,Images Live,"Camera Operator,Photographer",War,"Television,Internet",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Pavel Sheremet,n/a,y,n,Murder,Staff,"Ukrainska Pravda, Radio Vesti","Broadcast Reporter,Internet Reporter","Corruption,Crime,Politics","Radio,Internet",Ukraine,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2016,Rajdev Ranjan,India,y,n,Murder,Staff,Hindustan,Print Reporter,"Corruption,Crime,Politics",Print,India,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Rohat Akta_,Turkey,y,n,Unknown,Staff,Azadiya Welat,"Editor,Print Reporter","Politics,War",Print,Turkey,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Sagal Salad Osman,Somalia,n,y,Murder,Staff,Radio Mogadishu,Broadcast Reporter,Culture,Radio,Somalia,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Saif Talal,Iraq,y,n,Murder,Staff,Al-Sharqiya,Broadcast Reporter,War,Television,Iraq,Local,n/a,n/a,Complete Impunity,No,No,Yes
2016,Samer Mohammed Aboud,Syria,y,n,Murder,Staff,"Free Deir al-Zour Radio, Development Interaction Network","Broadcast Reporter,Internet Reporter",War,"Radio,Internet",Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Sami Jawdat Rabah,Syria,y,n,Murder,Staff,Syrian Observatory for Human Rights,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2016,Shehzad Ahmed,Pakistan,y,n,Dangerous Assignment,Staff,Aaj News,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,Pakistan,Local,n/a,n/a,n/a,No,No,No
2016,Soe Moe Tun ,Myanmar,y,n,Murder,Staff,Daily Eleven,Print Reporter,"Corruption,Crime",Print,Myanmar,Local,n/a,n/a,Complete Impunity,No,No,No
2016,Taha Shawkat Al-Halou,Syria,y,n,Crossfire,Freelance,Freelance,"Photographer,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Zabihullah Tamanna,Afghanistan,y,n,Crossfire,Freelance,National Public Radio,Producer,"Culture,Human Rights,Politics,War","Print,Radio,Internet",Afghanistan,Local,n/a,n/a,n/a,n/a,n/a,n/a
2016,Zaher al-Shurqat,n/a,y,n,Murder,Staff,Aleppo Today,Broadcast Reporter,War,Internet,Turkey,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2015,Abdullah Qabil,Yemen,y,n,Crossfire,Staff,"Yemen Youth TV, Belqees TV",Broadcast Reporter,"Politics,War",Television,Yemen,Local,n/a,n/a,n/a,No,Yes,No
2015,Adam Juma,South Sudan,y,n,Murder,Staff,Raja FM,Broadcast Reporter,"Politics,War",Radio,South Sudan,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Adam Ward,USA,y,n,Dangerous Assignment,Staff,WDBJ7,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,USA,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Adel Sayegh ,Iraq,y,n,Murder,Staff,Salaheddin TV,"Camera Operator,Photographer","Politics,War",Television,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,No
2015,Ahmed Abu al-Hamza,Syria,y,n,Crossfire,Staff,"SMART News Agency, Hama Media Center","Camera Operator,Photographer",War,Internet,Syria,Local,n/a,n/a,n/a,No,No,No
2015,Ahmed Mohamed al-Mousa,Syria,y,n,Murder,Staff,Raqqa is Being Slaughtered Silently,Editor,"Human Rights,Politics,War",Internet,Syria,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Alison Parker,USA,n,y,Dangerous Assignment,Staff,WDBJ7,Broadcast Reporter,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,USA,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Ammar al-Shami,Syria,y,n,Crossfire,Staff,Qasioun News,Photographer,"Human Rights,Politics,War",Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Ananta Bijoy Das,Bangladesh,y,n,Murder,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Armando Saldaña Morales,Mexico,y,n,Murder,Staff,La Ke Buena 100.9 FM,Broadcast Reporter,Crime,Radio,Mexico,Local,n/a,n/a,Complete Impunity,Yes,Yes,No
2015,Avijit Roy,n/a,y,n,Murder,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2015,Batoul Mokhles al-Warrar,Syria,n,y,Crossfire,Staff,Noor al-Sham; Radio Damascus,Broadcast Reporter,"Politics,War","Radio,Television",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Bernard Maris,France,y,n,Murder,Freelance,Freelance,Columnist / Commentator,Business,"Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Bernard Verlhac (Tignous),France,y,n,Murder,Freelance,Freelance,Columnist / Commentator,"Culture,Human Rights,Politics","Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Bilal Sharaf al-Deen,Yemen,y,n,Crossfire,Staff,Al-Masirah TV,Camera Operator,"Politics,War",Television,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Boutros Martin,South Sudan,y,n,Murder,Staff,South Sudan Television,Camera Operator,"Politics,War",Television,South Sudan,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Dalia Marko,South Sudan,n,y,Murder,Staff,Raja FM,Broadcast Reporter,"Politics,War",Radio,South Sudan,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Danilo López,Guatemala,y,n,Murder,Staff,Prensa Libre,Print Reporter,"Corruption,Crime,Politics",Print,Guatemala,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Daud Ali Omar,Somalia,y,n,Murder,Staff,Radio Baidoa,"Broadcast Reporter,Producer","Culture,Politics",Television,Somalia,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Djalma Santos da Conceição,Brazil,y,n,Murder,Staff,RCA FM,Broadcast Reporter,"Corruption,Crime",Radio,Brazil,Local,n/a,n/a,Complete Impunity,Yes,Yes,Yes
2015,Elsa Cayat,France,n,y,Murder,Freelance,Freelance,Columnist / Commentator,Culture,"Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Evany José Metzker,Brazil,y,n,Murder,Staff,Coruja do Vale,Internet Reporter,"Corruption,Crime",Internet,Brazil,Local,n/a,n/a,Complete Impunity,Yes,Yes,No
2015,Fadel al-Hadidi,Iraq,y,n,Murder,Staff,Mosul al-Youm; Sada al-Iraq,"Columnist / Commentator,Editor,Print Reporter","Corruption,Human Rights,Politics,War",Print,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,No
2015,Faisal Arefin Dipan,Bangladesh,y,n,Murder,Staff,Jagriti Prokashoni,Publisher / Owner,,Print,Bangladesh,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Fares Hamadi,n/a,y,n,Murder,Staff,Eye on the Homeland,Producer,"Corruption,Human Rights,Politics,War","Print,Internet",Turkey,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2015,Filadelfo Sanchez Sarmiento,Mexico,y,n,Murder,Staff,La Favorita 103.3FM La Voz de la Sierra Sur,"Broadcast Reporter,Print Reporter",Politics,"Print,Radio",Mexico,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Firas al-Baher,Iraq,y,n,Murder,Staff,Nineveh al-Ghad,"Producer,Technician",Politics,Television,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,No
2015,Flor Alba Núñez Vargas,Colombia,n,y,Murder,Staff,Red Noticias and La Preferida Estereo,Broadcast Reporter,Crime,Radio,Colombia,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,George Abanga,Ghana,y,n,Murder,Staff,"Success FM, Peace FM",Broadcast Reporter,Politics,Radio,Ghana,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Georges Wolinski,France,y,n,Murder,Staff,Charlie Hebdo,Columnist / Commentator,"Culture,Human Rights,Politics","Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Gerardo Ceferino Servían,n/a,y,n,Murder,Staff,Ciudad Nueva FM,Broadcast Reporter,Politics,Radio,Brazil,Foreign,n/a,n/a,Complete Impunity,No,No,No
2015,Gleydson Carvalho,Brazil,y,n,Murder,Staff,Radio Liberdade FM 90.3,Broadcast Reporter,"Corruption,Crime",Radio,Brazil,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Guillaume Barreau-Decherf,France,y,n,Dangerous Assignment,Freelance,Freelance,Print Reporter,Culture,Print,France,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Hindia Haji Mohamed,Somalia,n,y,Murder,Staff,"Radio Mogadishu, Somali National TV","Broadcast Reporter,Producer","Politics,War","Radio,Television",Somalia,Local,n/a,n/a,Full Justice,No,No,No
2015,Humam Najjar (Abu Yazan al-Halabi),Syria,y,n,Crossfire,Staff,Aleppo Today,"Broadcast Reporter,Internet Reporter","Human Rights,War","Television,Internet",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Ibrahim Abd al-Qader,n/a,y,n,Murder,Staff,"Eye on the Homeland, Raqqa is Being Slaughtered Silently",Editor,"Corruption,Human Rights,Politics,War","Print,Internet",Turkey,Foreign,n/a,n/a,Complete Impunity,No,No,Yes
2015,Israel Gon√ßalves Silva,Brazil,y,n,Murder,Staff,R√°dio Itaenga FM,Broadcast Reporter,Corruption,Radio,Brazil,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Ítalo Eduardo Diniz Barros,Brazil,y,n,Murder,Staff,Blog √çtalo Diniz,Internet Reporter,Politics,Internet,Brazil,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Jagendra Singh,India,y,n,Murder,Freelance,Freelance,Internet Reporter,"Corruption,Crime,Politics","Print,Internet",India,Local,n/a,n/a,Complete Impunity,Yes,No,No
2015,Jalaa al-Abadi,Iraq,y,n,Murder,Staff,Nineveh Reporters Network,"Camera Operator,Photographer","Human Rights,Politics,War",Internet,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,Yes
2015,Jamal Khalifeh,Syria,y,n,Crossfire,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter,Producer",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Jean Cabut (Cabu),France,y,n,Murder,Staff,Charlie Hebdo,Columnist / Commentator,"Culture,Human Rights,Politics","Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,John Kituyi,Kenya,y,n,Murder,Staff,Mirror Weekly,"Editor,Publisher / Owner",Politics,Print,Kenya,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Syria,y,n,Crossfire,Staff,Shahba Press Agency,"Broadcast Reporter,Camera Operator,Internet Reporter",War,Internet,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,José Moisés Sánchez Cerezo,Mexico,y,n,Murder,Staff,La Uni√≥n,"Internet Reporter,Print Reporter,Publisher / Owner","Corruption,Crime,Politics","Print,Internet",Mexico,Local,n/a,n/a,Complete Impunity,Yes,Yes,Yes
2015,Kenji Goto,n/a,y,n,Murder,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter","Culture,Human Rights,Politics,War","Television,Internet",Syria,Foreign,n/a,n/a,Complete Impunity,Yes,Yes,No
2015,Khaled al-Washli,Yemen,y,n,Dangerous Assignment,Staff,Al-Masirah TV,Broadcast Reporter,"Human Rights,Politics,War",Television,Yemen,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Luis Antonio Peralta Cuéllar,Colombia,y,n,Murder,Staff,Linda Stereo,"Broadcast Reporter,Producer,Publisher/Owner","Business,Corruption,Politics",Radio,Colombia,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,_ukasz Masiak,Poland,y,n,Murder,Staff,Nasza M≈Çawa,"Editor,Internet Reporter","Corruption,Crime",Internet,Poland,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Mohamed Shamsan,Yemen,y,n,Crossfire,Staff,Yemen Today,Broadcast Reporter,"Culture,Human Rights,Politics,War",Television,Yemen,Local,n/a,n/a,n/a,No,No,No
2015,Mohammed al-Asfar,Syria,y,n,Crossfire,Staff,Al-Jazeera,Camera Operator,War,Television,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Moustapha Ourrad,France,y,n,Murder,Staff,Charlie Hebdo,Editor,"Culture,Human Rights,Politics","Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Muftah al-Qatrani,Libya,y,n,Murder,Staff,Al-Anwar,"Broadcast Reporter,Editor,Producer",War,Television,Libya,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Musa Mohamed,South Sudan,y,n,Murder,Staff,Raja FM,Editor,"Politics,War",Radio,South Sudan,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Mustaf Abdi Noor ,Somalia,y,n,Dangerous Assignment,Freelance,Freelance,"Camera Operator,Photographer","Politics,War","Television,Internet",Somalia,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Naji Jerf,n/a,y,n,Murder,Staff,"Hentah, Raqqa is Being Slaughtered Silently","Editor,Producer","Human Rights,Politics",Internet,Turkey,Foreign,n/a,n/a,Partial Impunity,No,No,Yes
2015,Niloy Neel,Bangladesh,y,n,Murder,Freelance,Freelance,Internet Reporter,"Culture,Human Rights,Politics",Internet,Bangladesh,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Noureddine Hashim,Syria,y,n,Crossfire,Staff,Al Etihad Press,"Broadcast Reporter,Photographer,Internet Reporter",War,"Television,Internet",Syria,Local,n/a,n/a,n/a,No,No,No
2015,Obada Ghazal,Syria,y,n,Crossfire,Staff,SMART News Agency,"Camera Operator,Photographer,Internet Reporter",War,Television,Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Philippe Honoré,France,y,n,Murder,Freelance,Freelance,Columnist / Commentator,"Culture,Human Rights,Politics","Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Randa George,South Sudan,n,y,Murder,Staff,Raja FM,Broadcast Reporter,"Politics,War",Radio,South Sudan,Local,n/a,n/a,Complete Impunity,No,No,No
2015,Rub√én Espinosa Becerril,Mexico,y,n,Murder,Staff,"Proceso, AVC Noticias, Cuartoscuro",Photographer,"Culture,Human Rights,Politics",Print,Mexico,Local,n/a,n/a,Complete Impunity,Yes,No,Yes
2015,Serhiy Nikolayev,Ukraine,y,n,Crossfire,Staff,Segodnya,Photographer,"Human Rights,War",Print,Ukraine,Local,n/a,n/a,n/a,No,No,No
2015,Soleil Balanga,Democratic Republic of the Congo,y,n,Murder,Staff,Radio Monkoto Soso Aleli,Broadcast Reporter,"Culture,Politics",Radio,Democratic Republic of the Congo,Local,n/a,n/a,Full Justice,No,No,No
2015,Stephane Charbonnier (Charb),France,y,n,Murder,Staff,Charlie Hebdo,Editor,"Culture,Human Rights,Politics","Print,Internet",France,Local,n/a,n/a,Partial Impunity,No,No,Yes
2015,Thaer al-Ajlani,Syria,y,n,Crossfire,Freelance,Sham FM; al-Watan,"Broadcast Reporter,Camera Operator,Print Reporter",War,"Print,Radio,Television",Syria,Local,n/a,n/a,n/a,n/a,n/a,n/a
2015,Thaer Al-Ali,Iraq,y,n,Murder,Staff,Rai al-Nas,Editor,"Corruption,Crime,Culture,Human Rights,Politics,War",Print,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,No
2015,Wasem Aledel,Syria,y,n,Crossfire,Staff,Maarat Media Center,"Camera Operator,Photographer,Internet Reporter","Human Rights,Politics,War","Television,Internet",Syria,Local,n/a,n/a,n/a,No,No,No
2015,Washiqur Rahman Babu,Bangladesh,y,n,Murder,Freelance,Freelance,Internet Reporter,"Culture,Human Rights,Politics",Internet,Bangladesh,Local,n/a,n/a,Complete Impunity,No,No,Yes
2015,Yahya Abdul Hamid,Iraq,y,n,Murder,Staff,Radio Rasheed,Editor,"Corruption,Crime,Human Rights,Politics",Radio,Iraq,Local,n/a,n/a,Complete Impunity,No,Yes,No
2015,Youssef al-Ayzari,Yemen,y,n,Crossfire,Staff,Suhail TV,Broadcast Reporter,"Politics,War",Television,Yemen,Local,n/a,n/a,n/a,No,Yes,No
2015,Zakaria Ibrahim,Syria,y,n,Crossfire,Staff,Al-Jazeera,Camera Operator,War,Television,Syria,Local,n/a,n/a,n/a,No,No,No
2015,Zaman Mehsud,Pakistan,y,n,Murder,Freelance,"Daily Ummat, Daily Nai Baat",Print Reporter,"Human Rights,Politics",Print,Pakistan,Local,n/a,n/a,Complete Impunity,No,No,No